anomaly_name,anomaly_description,production_line,equipment,part,cause_chain,cause_descriptions,solution_name
供料站位过远,SMT贴片机#1供料站位距离过远，取料行程超过200mm，导致贴片效率下降,SMT线1,贴片机Mounter-01;供料站Feeder-03,0805电阻;电容,供料站布局不合理>取料行程过长>贴片效率降低,供料站与贴片机间距超50cm>单次取料耗时增加0.5秒>每小时贴片量减少120片,调整供料站布局;优化取料路径
回流焊振动超标,回流焊#2受周边设备振动影响，贴片偏移量达5微米，导致元件位置偏差,SMT线1,回流焊Reflow-02;贴片机Mounter-01,IC芯片;电阻,设备布局过近>振动干扰>贴片偏移,回流焊与贴片机间距不足1米>设备运行振动相互传递>贴片元件位置偏移5微米,移位回流焊至独立区域;更换减震传送带
贴片机间距过近,贴片机#1与#2间距不足0.8米，散热不足导致贴装精度下降,SMT线1,贴片机Mounter-01;贴片机Mounter-02,IC芯片;电容,设备布局过近>散热不足>贴装精度下降,贴片机间距不足0.8米>设备散热不畅>温度升高导致定位精度偏差±3微米,调整贴片机间距;增加散热风扇
印刷机与贴片机间距远,印刷机#1与贴片机#1间距超3米，PCB板传输温降导致焊膏活性下降,SMT线1,印刷机Printer-01;贴片机Mounter-01,焊膏;PCB板,工序布局不合理>传输距离长>焊膏活性下降,印刷机与贴片机间距超3米>PCB板传输耗时增加>焊膏温度降低10℃导致活性下降,缩短印刷机与贴片机间距;增加保温传输带
物料配送路线交叉,供料站物料配送路线与PCB板传输路线交叉，导致AGV等待时间增加,SMT线1,AGV小车;供料站Feeder-05,物料箱;PCB板,物流路线规划冗余>通道交叉>配送延迟,多路线共用同一通道>AGV小车与PCB板传输带交叉>等待时间增加15秒/次,重新规划配送路径;划分专属通道
贴片机取料臂行程不均,贴片机#3取料臂行程不均，导致部分供料站取料耗时增加,SMT线1,贴片机Mounter-03,0603电阻;电感,供料站布局不对称>取料臂行程不均>效率下降,供料站布局呈单侧集中>取料臂左右行程差超100mm>部分取料耗时增加0.3秒,优化供料站布局;平衡取料臂行程
回流焊出口缓存不足,回流焊#2出口缓存区仅能存放5块PCB板，导致后续工序等待,SMT线1,回流焊Reflow-02;缓存传送带,PCB板,工位布局不合理>缓存容量不足>工序等待,回流焊出口缓存区长度仅1米>最多存放5块PCB板>后续AOI检测工站等待率12%,延长缓存传送带;增加缓存容量
贴片机抛料盒布局不合理,贴片机#1抛料盒位于设备后方，操作员清理耗时增加,SMT线1,贴片机Mounter-01;抛料盒,废弃元件,设备布局不合理>操作路径长>清理效率低,抛料盒位于设备后方>操作员清理需绕行>单次清理耗时增加2分钟,调整抛料盒至设备侧面;增加自动清理功能
焊膏存储区与印刷机远,焊膏存储区与印刷机#1间距超10米，取用耗时增加导致换料延迟,SMT线1,焊膏存储柜;印刷机Printer-01,焊膏,物料布局不合理>取用路径长>换料延迟,存储区与印刷机间距超10米>操作员往返耗时增加3分钟>换料延迟导致停机5分钟/次,增设就近焊膏缓存区;优化换料流程
视觉检测工位节拍失衡,AOI检测工位节拍为30秒/板，前后工序为20秒/板，导致物料堆积,SMT线1,AOI检测仪;传送带Conveyor-04,PCB板,工位节拍不平衡>效率不匹配>物料堆积,AOI检测工位节拍30秒>前后工序20秒>缓存区物料堆积超20块,增加AOI检测工位;优化检测算法
